ID,Airline.ID,Destination.Airport.ID,Source.Airport.ID,Airline,Source.Airport,Destination.Airport,Codeshare,Stops,Equipment,Source_Name,Source_City,Source_Country,Source_IATA,Source_ICAO,Source_Lat,Source_Long,Source_Alt,Source_TZ,Source_DST,dest_Name,dest_City,dest_Country,dest_IATA,dest_ICAO,dest_Lat,dest_Long,dest_Alt,dest_TZ,dest_DST,Airline_Name,Airline_Alias,Airline_IATA,Airline_ICAO,Airline_Callsign,Airline_Country,Airline_Active
25525,3098,273,248,E2,ACC,LOS,,0,M82,Kotoka Intl,Accra,Ghana,ACC,DGAA,5.605186,-0.166786,205,0,N,Murtala Muhammed,Lagos,Nigeria,LOS,DNMM,6.577369,3.321156,135,1,N,Kampuchea Airlines,\N,E2,KMP,KAMPUCHEA,Cambodia,N
25638,3126,4059,273,KQ,LOS,NBO,,0,738 73W,Murtala Muhammed,Lagos,Nigeria,LOS,DNMM,6.577369,3.321156,135,1,N,Jomo Kenyatta International,Nairobi,Kenya,NBO,HKJK,-1.319167,36.9275,5327,3,N,Kenya Airways,\N,KQ,KQA,KENYA,Kenya,Y
25684,3126,245,273,KQ,LOS,COO,,0,73W,Murtala Muhammed,Lagos,Nigeria,LOS,DNMM,6.577369,3.321156,135,1,N,Cadjehoun,Cotonou,Benin,COO,DBBB,6.357228,2.384353,19,1,N,Kenya Airways,\N,KQ,KQA,KENYA,Kenya,Y
25730,3126,273,4059,KQ,NBO,LOS,,0,738 73W,Jomo Kenyatta International,Nairobi,Kenya,NBO,HKJK,-1.319167,36.9275,5327,3,N,Murtala Muhammed,Lagos,Nigeria,LOS,DNMM,6.577369,3.321156,135,1,N,Kenya Airways,\N,KQ,KQA,KENYA,Kenya,Y
29058,3320,340,260,LH,ABV,FRA,,0,333,Nnamdi Azikiwe Intl,Abuja,Nigeria,ABV,DNAA,9.006792,7.263172,1123,1,N,Frankfurt Main,Frankfurt,Germany,FRA,EDDF,50.026421,8.543125,364,1,E,Lufthansa,\N,LH,DLH,LUFTHANSA,Germany,Y
29138,3320,273,275,LH,PHC,LOS,,0,333,Port Harcourt Intl,Port Hartcourt,Nigeria,PHC,DNPO,5.015494,6.949594,87,1,N,Murtala Muhammed,Lagos,Nigeria,LOS,DNMM,6.577369,3.321156,135,1,N,Lufthansa,\N,LH,DLH,LUFTHANSA,Germany,Y
29262,3320,340,273,LH,LOS,FRA,,0,333,Murtala Muhammed,Lagos,Nigeria,LOS,DNMM,6.577369,3.321156,135,1,N,Frankfurt Main,Frankfurt,Germany,FRA,EDDF,50.026421,8.543125,364,1,E,Lufthansa,\N,LH,DLH,LUFTHANSA,Germany,Y
29336,3320,260,340,LH,FRA,ABV,,0,333,Frankfurt Main,Frankfurt,Germany,FRA,EDDF,50.026421,8.543125,364,1,E,Nnamdi Azikiwe Intl,Abuja,Nigeria,ABV,DNAA,9.006792,7.263172,1123,1,N,Lufthansa,\N,LH,DLH,LUFTHANSA,Germany,Y
29369,3320,260,891,LH,SSG,ABV,,0,333,Malabo,Malabo,Equatorial Guinea,SSG,FGSL,3.755267,8.708717,76,1,N,Nnamdi Azikiwe Intl,Abuja,Nigeria,ABV,DNAA,9.006792,7.263172,1123,1,N,Lufthansa,\N,LH,DLH,LUFTHANSA,Germany,Y
29469,3320,891,260,LH,ABV,SSG,,0,333,Nnamdi Azikiwe Intl,Abuja,Nigeria,ABV,DNAA,9.006792,7.263172,1123,1,N,Malabo,Malabo,Equatorial Guinea,SSG,FGSL,3.755267,8.708717,76,1,N,Lufthansa,\N,LH,DLH,LUFTHANSA,Germany,Y
